filename,roughness_score
51908.png,60.07
22526.png,85.79
39803.png,55.01
40615.png,75.32
56281.png,82.25
35126.png,45.57
68995.png,68.2
62623.png,70.94
25667.png,34.25
60694.png,17.03
26195.png,84.68
00785.png,80.82
45416.png,82.31
56386.png,40.7
02231.png,67.89
17294.png,6.88
58136.png,88.56
51023.png,70.2
55124.png,50.73
44380.png,65.32
52793.png,55.36
05913.png,74.8
64503.png,90.61
00757.png,82.82
58422.png,54.11
19943.png,57.59
00222.png,35.74
53795.png,47.08
60914.png,38.2
06388.png,74.6
41190.png,45.47
54806.png,69.86
08041.png,68.59
22313.png,84.84
05050.png,31.86
14964.png,86.15
14838.png,12.91
57124.png,78.05
69222.png,79.08
36242.png,53.9
08415.png,62.14
24753.png,96.2
22795.png,75.4
39795.png,10.11
55065.png,14.27
14017.png,77.43
35048.png,71.54
01869.png,74.56
66862.png,20.45
31147.png,26.51
44055.png,20.14
02980.png,30.86
05792.png,33.37
31926.png,49.91
67743.png,88.34
10045.png,45.45
43315.png,59.79
39827.png,92.37
54532.png,60.78
05936.png,49.34
27896.png,45.14
34233.png,44.42
36538.png,24.78
26158.png,25.1
50858.png,60.75
09308.png,67.54
57802.png,66.77
08466.png,22.29
30635.png,26.66
38495.png,48.58
47749.png,93.9
45340.png,6.11
25368.png,71.28
58235.png,7.58
65548.png,37.58
02124.png,71.85
52694.png,51.63
64999.png,60.34
12016.png,69.1
13333.png,88.67
46937.png,89.06
31404.png,72.89
23489.png,87.16
27364.png,85.24
04196.png,40.56
55138.png,36.2
69012.png,77.46
09728.png,44.48
62854.png,59.92
40464.png,9.31
33615.png,73.04
27733.png,68.08
00657.png,58.74
52092.png,8.36
16958.png,59.56
59514.png,78.55
11608.png,90.42
62063.png,80.14
27948.png,67.41
25783.png,23.12
08920.png,82.88
54481.png,66.15
45397.png,74.92
22735.png,91.55
55542.png,80.97
06610.png,2.87
16163.png,31.84
48895.png,88.67
00373.png,85.08
21303.png,63.91
39873.png,67.55
28703.png,60.39
22843.png,90.5
46618.png,56.98
05442.png,30.03
58570.png,49.51
35103.png,9.58
09639.png,54.24
55849.png,60.9
22772.png,76.08
08093.png,74.71
62497.png,90.65
50606.png,90.12
31970.png,46.34
40280.png,90.6
02427.png,65.7
36780.png,71.52
39987.png,56.89
36086.png,56.16
06199.png,45.39
36469.png,50.36
17105.png,10.09
41671.png,56.22
47117.png,12.18
03053.png,44.9
61086.png,66.15
43016.png,70.8
62921.png,15.63
49401.png,44.31
66704.png,41.72
11304.png,55.19
09430.png,53.63
63168.png,45.13
37071.png,39.81
20521.png,68.36
25329.png,68.4
22171.png,47.62
34480.png,82.42
65020.png,24.8
02206.png,12.46
32350.png,66.78
13380.png,83.15
43260.png,15.32
66691.png,83.26
46530.png,48.73
15922.png,36.3
05801.png,80.5
58181.png,35.47
37558.png,47.9
27557.png,54.99
31541.png,22.8
21598.png,59.58
07129.png,68.3
08134.png,87.82
40085.png,41.14
17523.png,79.0
15991.png,91.13
31276.png,31.76
54583.png,87.11
10757.png,88.45
37187.png,54.79
31473.png,53.11
17633.png,62.77
17315.png,76.91
56780.png,61.22
45750.png,75.96
30590.png,87.38
19843.png,79.63
00002.png,84.18
35320.png,29.71
06497.png,90.7
57792.png,25.76
18244.png,80.82
12279.png,33.78
45795.png,54.26
28910.png,81.0
42858.png,46.48
27746.png,74.85
13807.png,74.09
53866.png,20.42
35529.png,78.2
55407.png,70.5
63107.png,69.03
51175.png,20.16
10663.png,38.13
16656.png,44.85
65325.png,74.59
62909.png,7.35
56150.png,93.16
05721.png,44.43
02362.png,72.56
17530.png,82.16
19724.png,53.65
39317.png,85.01
66274.png,80.33
23871.png,55.79
08286.png,59.18
56540.png,66.23
32502.png,78.61
19948.png,89.0
40627.png,55.49
11869.png,67.2
26894.png,10.37
39668.png,63.18
51830.png,30.83
67016.png,0.31
20376.png,61.72
59146.png,58.72
52614.png,76.14
08660.png,18.16
03032.png,73.64
51559.png,91.05
10779.png,17.65
24744.png,71.33
31072.png,70.97
11337.png,87.42
35110.png,71.03
54802.png,14.97
13656.png,44.12
40236.png,35.84
09390.png,55.27
00053.png,81.64
12316.png,27.89
34437.png,32.06
56261.png,38.45
67773.png,54.46
54361.png,57.24
50113.png,33.46
29379.png,77.94
51083.png,50.86
40285.png,71.37
20462.png,39.93
55831.png,89.44
11504.png,71.62
16541.png,95.65
47965.png,80.57
27157.png,81.42
42393.png,57.46
40291.png,63.9
52379.png,13.0
06905.png,61.66
66234.png,86.13
27007.png,39.02
01188.png,32.83
59413.png,40.38
09526.png,47.32
63769.png,94.69
56107.png,9.21
56925.png,28.32
55965.png,70.96
56444.png,80.39
43966.png,59.66
23147.png,53.2
19713.png,93.31
41328.png,25.65
65658.png,79.88
17843.png,90.6
69555.png,91.67
24410.png,45.68
47518.png,75.39
38224.png,48.64
35434.png,1.35
50350.png,36.72
10539.png,70.22
10232.png,47.21
13237.png,24.03
17412.png,55.19
57238.png,24.54
10965.png,53.92
24628.png,46.7
50222.png,2.33
59924.png,60.59
66326.png,69.75
63330.png,33.58
06806.png,12.64
33267.png,77.7
05331.png,46.54
23253.png,28.69
05757.png,39.67
53535.png,19.28
64011.png,41.6
57301.png,24.15
02476.png,89.18
07342.png,35.21
58328.png,71.89
19554.png,54.92
14872.png,56.77
67654.png,92.79
14839.png,41.53
57423.png,13.59
33896.png,73.12
61995.png,92.41
05022.png,73.56
45498.png,53.13
48904.png,47.04
66292.png,8.53
59184.png,72.12
38640.png,50.27
67570.png,90.4
17787.png,4.1
40565.png,49.64
54674.png,81.47
45129.png,61.99
60788.png,88.33
53302.png,10.07
54988.png,85.44
67675.png,65.8
00718.png,53.26
23860.png,59.9
65037.png,68.73
40971.png,79.44
11321.png,62.25
50820.png,85.83
47181.png,17.78
61165.png,40.63
60917.png,77.36
12177.png,71.34
69208.png,19.74
57706.png,73.66
49560.png,22.91
04521.png,26.96
68363.png,44.89
08501.png,34.84
30687.png,59.3
51165.png,81.4
51772.png,75.84
36434.png,11.56
21280.png,66.03
33212.png,39.96
03270.png,40.9
22769.png,56.96
29488.png,76.04
50280.png,89.85
57086.png,39.99
34590.png,82.41
48454.png,70.77
11327.png,53.67
21123.png,57.95
40949.png,80.34
56104.png,19.77
37828.png,64.1
15548.png,61.33
28472.png,72.86
59636.png,64.15
04091.png,27.79
16679.png,46.22
25093.png,77.4
34634.png,59.61
24368.png,77.58
16488.png,19.43
40761.png,75.57
67779.png,63.5
33498.png,70.97
57472.png,93.74
39035.png,42.62
00859.png,3.65
34982.png,75.63
35788.png,78.43
18516.png,91.56
69261.png,78.18
55522.png,29.55
33663.png,41.9
36973.png,75.74
46476.png,78.54
59009.png,60.18
10085.png,15.67
11285.png,89.4
12884.png,59.0
64382.png,61.11
44589.png,83.7
64953.png,75.29
59074.png,85.46
13597.png,49.25
07019.png,78.52
49148.png,67.84
19969.png,69.43
63779.png,43.98
07147.png,46.41
49184.png,75.5
01356.png,73.45
06896.png,64.96
34654.png,90.86
27374.png,90.7
39605.png,10.23
04658.png,8.37
69888.png,56.58
33790.png,70.1
04382.png,49.59
54069.png,74.77
52366.png,38.65
63580.png,50.21
10177.png,47.15
51895.png,57.31
02737.png,54.74
34100.png,87.35
04221.png,44.65
00562.png,28.79
44518.png,68.12
66209.png,52.75
19315.png,83.2
46427.png,81.71
53915.png,3.06
53934.png,91.12
62488.png,69.34
28117.png,34.44
02867.png,71.42
07583.png,73.83
45451.png,78.01
06316.png,70.42
45449.png,44.3
45094.png,62.25
60382.png,61.03
06447.png,94.18
11651.png,53.16
06324.png,76.23
18622.png,4.37
55157.png,30.74
57605.png,15.98
32461.png,50.99
65589.png,13.9
32049.png,75.83
57798.png,88.0
48122.png,65.08
27290.png,32.23
48332.png,75.14
04621.png,79.81
12692.png,21.88
13291.png,61.29
57178.png,57.17
42743.png,21.3
41541.png,32.97
12806.png,74.76
58304.png,88.56
41794.png,21.66
07539.png,19.76
20393.png,95.94
61155.png,18.75
50207.png,72.19
16948.png,56.31
54296.png,29.81
63864.png,33.51
38996.png,72.84
18105.png,35.04
53312.png,42.06
36115.png,87.06
59004.png,59.6
67527.png,80.22
06698.png,69.32
42449.png,84.09
53105.png,81.03
17771.png,77.52
20317.png,84.04
09449.png,84.0
44650.png,74.46
59360.png,4.29
03402.png,90.06
64998.png,57.74
18083.png,48.88
02703.png,63.79
39735.png,81.56
00008.png,72.39
60842.png,37.98
33623.png,82.26
30770.png,29.28
67416.png,25.99
12967.png,67.7
40077.png,69.74
25866.png,80.26
38771.png,65.65
32065.png,69.3
26232.png,36.49
45092.png,33.89
21482.png,64.39
66058.png,59.58
68816.png,47.22
30172.png,3.01
69505.png,50.3
34791.png,61.81
46082.png,63.67
01772.png,87.82
39624.png,69.33
18898.png,20.23
25101.png,80.62
56068.png,70.62
67944.png,20.88
13086.png,73.45
47182.png,42.42
68972.png,75.22
44505.png,65.98
16597.png,76.42
07339.png,18.66
65632.png,9.61
25733.png,56.95
53781.png,86.48
01136.png,42.46
40571.png,79.77
11797.png,84.67
64146.png,82.95
48191.png,59.44
40915.png,54.91
28963.png,43.4
09426.png,47.5
34922.png,13.06
07497.png,63.99
64261.png,48.29
58784.png,92.46
17865.png,23.84
45923.png,39.34
37139.png,85.34
31459.png,86.29
01936.png,59.75
52860.png,79.17
50797.png,40.63
46045.png,64.91
33175.png,76.54
67871.png,76.4
13091.png,58.68
34989.png,16.03
35708.png,65.79
14921.png,68.14
26437.png,66.1
20278.png,78.4
39314.png,46.95
57076.png,32.25
14752.png,61.79
63342.png,78.23
52870.png,54.01
43002.png,78.4
24470.png,90.34
11698.png,83.89
66082.png,83.15
30571.png,82.21
31781.png,76.16
17381.png,61.97
49287.png,11.65
25851.png,72.21
36854.png,91.08
53171.png,88.18
60024.png,60.18
26435.png,63.23
36240.png,78.51
50452.png,59.61
18340.png,30.67
